page#	line#	song	artist	title of record	year 	type	side/#	genre	
1	1	57 Chevrolet	Billie Jo Spears	What I've got in mind	1988	CD	116	country	
1	2	57 Chevrolet	Billie Jo Spears	The very best of Billie J.Sp.	1986	LP	203	country	
1	3	s Wonderful	Ray Conniff and the Singers	Memories	1975	LP. 2x	408	Pop	
1	4	('til) I kissed you	The Everly Brothers	So many years	1989	CD 2x	204	Pop	
1	5	('til) I kissed you	The Everly Brothers	The very best of E.8.	1964	LP	102	Pop	
1	6	('til) I kissed you	The Everly Brothers	Original greatest hits	1970	LP 2x	401	Pop	
1	7	('til) I kissed you	The Everly Brothers	The E.8. Reunion Concert	1983	LP 2x	401	Pop	
1	8	20th Century drifter	Tom T. Hall	Country sunshine	1974	LP. 	108	Country	
1	9	24 hours from Tulsa	Gene Pitney	His 20 greatest hits	1969	LP. 	101	Pop	
1	10	24 hours from Tulsa	Gene Pitney	40 Golden country hits	0	LP. 2x	207	country	
1	11	24 sycamore street	Gene Pitney	His 20 greatest hits	1969	LP.	106	Pop	
1	12	2400 kussen	Peter Koelewin	De beste van…	0	LP.	105	Pop	
1	13	4-0-33	George Jones	A good year for the roses	1986		103	country	
1	14	40 miles of bad road	Duane Eddy	Country music Calv. U.S.A.	1980	LP. 3x	602	country	
1	15	50 cents	The Merrymen	Big bamboo	1989	CD	114	Pop	
1	16	500 Miles away from home	Bobby Bare 	Nashville Stars forever	1976	LP. 2x	205	country	
1	17	624 hours from Tusla 	Dusty Springfield	You don't have to say…	1969	LP	107	Pop	
1	18	80's Ladies 	K.T. Oslin	80's Ladies	1987	CD.	104	Country	
1	19	80's Ladies 	K.T. Oslin	Country sunset	1989	CD.	103	country	
1	20	845 Stomp	Earl Bostic	All his hits	1977	LP	102	Blues	
1	21	9.999.999 Tears	Dickey Lea	24 Original no.1 Country hits	1978	LP.2x	102	country	
1	22	98.6	Keith	Rock Revival	1978	LP. 2x	403	Rock and Roll	
1	23	A boy named Sue	Johnny Cash	The great country love songs	1972	LP. 6x	905	country	
1	24	A boy named Sue	Johnny Cash	Memories	1975	LP. 2x	201	Pop	
1	25	A brand new heartache	The Everly Brothers	So many years	1989	CD 2x	205	Pop	
1	26	A brand new heartache	The Everly Brothers	Original greatest hits	1970	LP 2x	205	country	
1	27	A change of heart	The Everly Brothers	Star collection	1973	LP	205	Pop	
1	28	"A church, a courtroom, then…"	Patsy Cline	Unforgettable Patsy Cline	1990	CD	109	country	
1	29	A dear John letter	Jean Shepard	Country hits	1975	LP. 2x	204	Country	
1	30	A dear John letter	Skeeter Davis & Bobby Bare	Nashville Stars forever	1976	LP. 2x	301	country	
1	31	A fallen star	Ferlin Husky	Country music Cav Memory Lane	1980	LP. 3x	406	Country	
1	32	A good year for the roses	Tony Will	New words to an old lovesong	1989	CD	107	country	
1	33	A good year for the roses	George Jones	Tender Years	1989	CD	111	Country	
1	34	A good year for the roses	George Jones	A good year for the roses	1986		205	country	
1	35	A good year for the roses	George Jones	Kind of Country	1957	CD.	114	Country	
